iter	Passed	Remaining
602	2330	1534
603	2335	1531
604	2338	1526
605	2342	1522
606	2344	1518
607	2347	1513
608	2352	1510
609	2354	1505
610	2356	1500
611	2359	1496
612	2362	1491
613	2367	1488
614	2371	1484
615	2373	1479
616	2376	1475
617	2381	1472
618	2385	1468
619	2388	1463
620	2391	1459
621	2393	1454
622	2399	1451
623	2401	1447
624	2403	1442
625	2406	1438
626	2409	1433
627	2415	1430
628	2418	1426
629	2420	1421
630	2423	1417
631	2426	1412
632	2431	1409
633	2433	1404
634	2436	1400
635	2439	1396
636	2442	1391
637	2444	1387
638	2447	1382
639	2450	1378
640	2453	1374
641	2458	1370
642	2461	1366
643	2463	1361
644	2466	1357
645	2469	1353
646	2476	1350
647	2478	1346
648	2480	1341
649	2483	1337
650	2485	1332
651	2491	1330
652	2495	1325
653	2498	1321
654	2501	1317
655	2507	1314
656	2510	1310
657	2512	1305
658	2514	1301
659	2517	1296
660	2523	1294
661	2526	1289
662	2529	1285
663	2532	1281
664	2538	1278
665	2540	1274
666	2543	1269
667	2545	1265
668	2548	1260
669	2554	1258
670	2556	1253
671	2559	1249
672	2561	1244
673	2564	1240
674	2571	1238
675	2575	1234
676	2577	1229
677	2580	1225
678	2586	1222
679	2589	1218
680	2592	1214
681	2595	1210
682	2601	1207
683	2604	1203
684	2607	1199
685	2609	1194
686	2615	1191
687	2618	1187
688	2621	1183
689	2624	1178
690	2626	1174
691	2632	1171
692	2635	1167
693	2637	1162
694	2640	1158
695	2645	1155
696	2648	1151
697	2650	1146
698	2653	1142
699	2656	1138
700	2661	1135
701	2664	1131
702	2666	1126
703	2669	1122
704	2672	1118
705	2674	1113
706	2679	1110
707	2682	1106
708	2685	1102
709	2692	1099
710	2696	1096
711	2699	1091
712	2701	1087
713	2704	1083
714	2710	1080
715	2712	1076
716	2715	1071
717	2719	1068
718	2725	1065
719	2727	1060
720	2730	1056
721	2733	1052
722	2737	1048
723	2740	1044
724	2743	1040
725	2745	1036
726	2748	1031
727	2750	1027
728	2753	1023
729	2755	1019
730	2758	1015
731	2761	1010
732	2768	1008
733	2771	1004
734	2774	1000
735	2784	998
736	2788	995
737	2790	990
738	2793	986
739	2799	983
740	2802	979
741	2805	975
742	2807	971
743	2810	967
744	2816	963
745	2818	959
746	2820	955
747	2823	951
748	2826	947
749	2828	942
750	2831	938
751	2834	934
752	2837	930
753	2843	927
754	2845	923
755	2848	919
756	2851	915
757	2854	911
758	2859	908
759	2863	904
760	2866	900
761	2869	896
762	2875	893
763	2880	889
764	2882	885
765	2885	881
766	2893	878
767	2896	874
768	2898	870
769	2901	866
770	2904	862
771	2906	858
772	2909	854
773	2912	850
774	2918	847
775	2921	843
776	2923	839
777	2926	834
778	2928	830
779	2935	827
780	2937	823
781	2940	819
782	2942	815
783	2947	812
784	2952	808
785	2955	804
786	2959	800
787	2966	798
788	2971	794
789	2974	790
790	2982	787
791	2985	783
792	2988	780
793	2991	776
794	2997	772
795	3000	768
796	3002	764
797	3005	760
798	3008	756
799	3011	752
800	3013	748
801	3016	744
802	3018	740
803	3025	737
804	3027	733
805	3031	729
806	3034	725
807	3038	721
808	3041	718
809	3044	714
810	3050	710
811	3056	707
812	3058	703
813	3061	699
814	3063	695
815	3066	691
816	3072	688
817	3075	684
818	3078	680
819	3081	676
820	3084	672
821	3088	668
822	3090	664
823	3093	660
824	3096	656
825	3102	653
826	3104	649
827	3107	645
828	3110	641
829	3113	637
830	3119	634
831	3122	630
832	3124	626
833	3127	622
834	3130	618
835	3135	615
836	3137	611
837	3141	607
838	3143	603
839	3149	599
840	3152	596
841	3155	592
842	3157	588
843	3164	584
844	3166	580
845	3169	576
846	3172	573
847	3175	569
848	3181	565
849	3184	561
850	3186	557
851	3189	554
852	3196	550
853	3199	546
854	3201	543
855	3205	539
856	3211	535
857	3213	531
858	3216	527
859	3219	524
860	3221	520
861	3227	516
862	3230	512
863	3233	509
864	3237	505
865	3244	501
866	3247	498
867	3249	494
868	3252	490
869	3258	486
870	3261	482
871	3264	479
872	3266	475
873	3273	471
874	3275	467
875	3278	464
876	3281	460
877	3283	456
878	3290	452
879	3292	449
880	3295	445
881	3297	441
882	3304	437
883	3306	433
884	3309	430
885	3311	426
886	3314	422
887	3319	418
888	3322	414
889	3325	411
890	3329	407
891	3333	403
892	3337	399
893	3340	396
894	3342	392
895	3345	388
896	3352	384
897	3354	381
898	3357	377
899	3360	373
900	3362	369
901	3368	365
902	3370	362
903	3374	358
904	3377	354
905	3384	351
906	3387	347
907	3389	343
908	3392	339
909	3398	336
910	3401	332
911	3403	328
912	3406	324
913	3409	320
914	3412	317
915	3415	313
916	3418	309
917	3421	305
918	3428	302
919	3430	298
920	3432	294
921	3435	290
922	3442	287
923	3444	283
924	3447	279
925	3450	275
926	3453	271
927	3455	268
928	3458	264
929	3461	260
930	3463	256
931	3469	253
932	3471	249
933	3474	245
934	3477	241
935	3480	237
936	3486	234
937	3488	230
938	3490	226
939	3493	223
940	3496	219
941	3502	215
942	3505	211
943	3509	208
944	3513	204
945	3518	200
946	3520	197
947	3523	193
948	3526	189
949	3533	185
950	3536	182
951	3538	178
952	3541	174
953	3547	171
954	3550	167
955	3552	163
956	3555	159
957	3558	155
958	3565	152
959	3567	148
960	3570	144
961	3573	141
962	3576	137
963	3579	133
964	3581	129
965	3584	126
966	3589	122
967	3593	118
968	3596	115
969	3599	111
970	3601	107
971	3609	103
972	3612	100
973	3615	96
974	3621	92
975	3624	89
976	3627	85
977	3629	81
978	3632	77
979	3638	74
980	3640	70
981	3643	66
982	3646	63
983	3652	59
984	3655	55
985	3657	51
986	3660	48
987	3663	44
988	3669	40
989	3671	37
990	3674	33
991	3676	29
992	3679	25
993	3685	22
994	3687	18
995	3690	14
996	3693	11
997	3695	7
998	3698	3
999	3702	0
